93,1,0
45,9,0
5,6,0
149,5,2
149,3,1
66,4,0
71,6,0
113,1,0
57,7,0
62,5,0
119,5,1
66,2,0
142,10,0
84,2,2
106,7,0
133,2,0
75,9,0
16,1,0
117,1,1
0,1,1
98,5,1
119,6,0
61,2,0
28,11,0
65,1,1
140,5,1
47,1,0
69,1,0
72,4,0
15,1,2
106,2,0
144,7,0
32,3,2
151,2,0
18,4,0
98,2,0
36,8,1
66,6,0
82,6,0
77,2,0
57,9,1
56,2,0
20,7,0
26,5,1
44,2,2
114,10,0
126,8,2
22,10,2
98,6,0
34,5,2
73,4,2
60,2,0
90,1,0
57,2,0
125,5,0
153,9,2
125,11,0
160,0,1
31,5,0
154,3,1
96,5,0
108,1,2
154,6,0
116,3,0
125,8,1
21,7,0
31,2,0
53,8,0
159,5,0
156,8,2
67,7,0
53,0,0
20,4,0
111,6,0
54,1,0
63,7,0
121,5,0
27,2,1
74,0,1
26,1,0
83,2,0
35,2,0
102,9,0
148,8,0
105,2,0
1,3,1
43,2,2
41,7,0
134,2,0
82,2,2
30,4,2
62,6,0
153,7,0
62,2,0
138,1,0
95,6,2
127,2,1
134,7,0
73,8,0
91,2,0
74,5,0
28,9,0
142,4,0
50,12,1
104,2,0
114,6,0
120,2,1
125,4,0
39,9,0
107,1,0
157,1,0
7,5,0
90,3,0
97,7,0
127,1,0
66,0,0
137,3,0
56,12,0
13,3,0
33,2,0
139,7,0
58,3,1
28,3,1
68,5,0
26,3,0
118,2,0
89,3,0
70,4,0
7,3,0
134,3,0
76,2,1
45,1,0
160,3,2
12,7,0
95,10,0
111,5,0
58,4,0
45,0,0
135,2,0
148,7,0
128,8,0
74,1,1
13,8,0
132,3,1
42,7,0
48,4,0
16,6,1
49,4,0
126,4,0
89,5,2
26,6,2
92,2,1
13,7,1
160,6,0
97,4,0
75,10,0
41,5,0
53,2,0
155,3,2
99,9,1
158,2,0
68,3,0
103,8,0
116,1,0
159,4,0
88,3,1
78,2,0
63,8,0
159,8,2
56,1,0
126,3,0
103,7,0
154,10,0
147,6,0
81,1,0
67,5,0
7,4,2
142,11,0
118,4,0
103,6,0
121,8,2
144,6,2
116,2,0
102,4,0
94,3,0
127,5,2
9,3,2
27,5,0
140,3,0
104,4,2
93,2,0
113,6,2
113,4,0
35,1,0
10,2,1
46,1,0
110,1,0
136,5,0
31,3,1
0,3,0
61,0,1
105,1,0
19,6,0
142,2,0
57,6,0
45,3,0
87,1,0
112,3,0
102,7,0
115,2,0
96,4,1
128,7,0
152,1,0
152,4,0
86,1,1
67,2,1
71,7,0
74,4,0
151,6,0
61,1,1
148,6,0
73,1,1
145,5,0
57,11,0
38,1,0
114,8,0
8,2,0
39,5,2
159,3,0
155,2,1
129,1,0
8,1,1
139,9,2
88,2,0
20,5,0
67,8,0
95,4,0
86,3,0
142,1,0
120,1,1
21,1,0
56,4,0
22,6,0
50,1,0
87,9,0
11,1,0
37,5,2
122,4,0
107,3,2
1,1,0
131,2,0
75,2,0
94,2,0
118,1,1
53,5,0
37,2,0
138,2,0
10,8,0
119,10,0
94,0,2
48,0,0
17,6,0
101,2,0
22,5,0
99,5,0
141,2,0
24,2,0
53,9,2
150,5,0
123,2,2
5,3,0
10,1,0
19,4,0
91,3,0
100,1,1
56,5,0
79,8,0
121,4,1
54,5,0
115,6,0
41,4,0
112,4,2
3,4,2
109,5,1
60,4,0
97,6,0
16,0,0
57,4,0
155,4,0
39,2,0
111,8,2
124,5,0
81,5,0
151,3,2
80,4,0
98,10,0
29,7,0
22,3,0
56,3,0
21,8,1
28,4,2
61,7,0
111,4,1
119,3,0
49,10,0
83,6,0
63,5,0
113,7,2
25,2,0
61,6,0
12,2,2
158,5,0
38,3,1
140,1,0
96,3,0
102,6,0
36,0,0
37,3,0
92,3,0
50,5,1
5,1,1
28,8,0
10,10,0
32,1,0
116,0,1
93,4,1
137,5,0
26,4,0
38,0,0
94,4,0
18,1,1
103,1,1
81,2,2
74,3,0
125,7,0
67,3,0
2,1,0
87,3,0
152,8,2
46,2,0
42,3,0
25,4,2
38,4,0
80,2,2
124,7,0
80,0,1
153,3,0
6,3,1
99,4,0
15,3,0
119,8,2
142,0,0
98,3,0
57,5,2
128,5,0
86,5,0
143,3,0
53,4,0
46,0,2
151,4,0
44,1,1
143,2,0
12,6,0
158,4,0
124,8,0
49,5,0
41,9,2
59,4,0
140,6,1
62,3,0
135,6,0
64,2,0
87,6,0
103,5,0
24,1,1
45,4,1
153,4,0
21,4,0
156,9,0
9,1,0
127,3,0
